Sample_ID,Species,Site,Month,TreeID
LOV-1-MAY-S13-L001,Q_wislizeni,Valley,May,LOV1
LOV-1-SEP-S109-L001,Q_wislizeni,Valley,September,LOV1
LOV-2-JULY-S62-L001,Q_wislizeni,Valley,July,LOV2
LOV-2-MAY-S14-L001,Q_wislizeni,Valley,May,LOV2
LOV-2-SEP-S110-L001,Q_wislizeni,Valley,September,LOV2
LOV-3-JULY-S63-L001,Q_wislizeni,Valley,July,LOV3
LOV-3-MAY-S15-L001,Q_wislizeni,Valley,May,LOV3
LOV-3-SEP-S111-L001,Q_wislizeni,Valley,September,LOV3
LOV-4-JULY-S64-L001,Q_wislizeni,Valley,July,LOV4
LOV-4-MAY-S16-L001,Q_wislizeni,Valley,May,LOV4
LOV-4-SEP-S112-L001,Q_wislizeni,Valley,September,LOV4
LOV-5-JULY-S65-L001,Q_wislizeni,Valley,July,LOV5
LOV-5-MAY-S17-L001,Q_wislizeni,Valley,May,LOV5
LOV-5-SEP-S113-L001,Q_wislizeni,Valley,September,LOV5
LOV-7-JULY-S67-L001,Q_wislizeni,Valley,July,LOV7
LOV-7-MAY-S19-L001,Q_wislizeni,Valley,May,LOV7
LOV-7-SEP-S115-L001,Q_wislizeni,Valley,September,LOV7
LOV-8-JULY-S68-L001,Q_wislizeni,Valley,July,LOV8
LOV-8-MAY-S20-L001,Q_wislizeni,Valley,May,LOV8
LOV-8-SEP-S116-L001,Q_wislizeni,Valley,September,LOV8
LOV-9-JULY-S69-L001,Q_wislizeni,Valley,July,LOV9
LOV-9-MAY-S21-L001,Q_wislizeni,Valley,May,LOV9
LOV-9-SEP-S117-L001,Q_wislizeni,Valley,September,LOV9
LOV-10-JULY-S70-L001,Q_wislizeni,Valley,July,LOV10
LOV-10-MAY-S22-L001,Q_wislizeni,Valley,May,LOV10
LOV-10-SEP-S118-L001,Q_wislizeni,Valley,September,LOV10
LOV-11-JULY-S71-L001,Q_wislizeni,Valley,July,LOV11
LOV-11-MAY-S23-L001,Q_wislizeni,Valley,May,LOV11
LOV-11-SEP-S119-L001,Q_wislizeni,Valley,September,LOV11
LOV-12-JULY-S72-L001,Q_wislizeni,Valley,July,LOV12
LOV-12-MAY-S24-L001,Q_wislizeni,Valley,May,LOV12
LOV-12-SEP-S120-L001,Q_wislizeni,Valley,September,LOV12
LOV-6-JULY-S66-L001,Q_wislizeni,Valley,July,LOV6
LOV-6-MAY-S18-L001,Q_wislizeni,Valley,May,LOV6
LOV-6-SEP-S114-L001,Q_wislizeni,Valley,September,LOV6
